"ID_VYPLATY","ID_ZAMESTNANCA","DATUM","SUMA"
45927,1914,15-MAR-21,945.43
45928,1914,15-APR-21,1338.91
45929,1914,15-MAY-21,944.25
45930,1914,15-JUN-21,960.5
45931,1914,15-JUL-21,1164.48
45932,1914,15-AUG-21,1179.53
45933,1914,15-SEP-21,1195.26
45934,1914,15-OCT-21,853.34
45935,1914,15-NOV-21,1296.56
45936,1914,15-DEC-21,1445.8
45937,1915,15-JAN-20,1150.59
45938,1915,15-FEB-20,1141.2
45939,1915,15-MAR-20,789.1
45940,1915,15-APR-20,1400.98
45941,1915,15-MAY-20,1298.96
45942,1915,15-JUN-20,945.19
45943,1915,15-JUL-20,984.98
45944,1915,15-AUG-20,1402.84
45945,1915,15-SEP-20,867.61
45946,1915,15-OCT-20,727.76
45947,1915,15-NOV-20,1049.64
45948,1915,15-DEC-20,889.75
45949,1915,15-JAN-21,1258.95
45950,1915,15-FEB-21,792.96
45951,1915,15-MAR-21,1189.38
45952,1915,15-APR-21,1141.34
45953,1915,15-MAY-21,1089.02
45954,1915,15-JUN-21,1059.17
45955,1915,15-JUL-21,737.84
45956,1915,15-AUG-21,904.44
45957,1915,15-SEP-21,840.06
45958,1915,15-OCT-21,1343.48
45959,1915,15-NOV-21,877.09
45960,1915,15-DEC-21,1002.73
45961,1916,15-JAN-20,1004.77
45962,1916,15-FEB-20,722.45
45963,1916,15-MAR-20,815.05
45964,1916,15-APR-20,1453.74
45965,1916,15-MAY-20,856.16
45966,1916,15-JUN-20,1203.13
45967,1916,15-JUL-20,1322.35
45968,1916,15-AUG-20,1359.56
45969,1916,15-SEP-20,1050.48
45970,1916,15-OCT-20,708.72
45971,1916,15-NOV-20,1390.09
45972,1916,15-DEC-20,1061.18
45973,1916,15-JAN-21,805.17
45974,1916,15-FEB-21,1261.86
45975,1916,15-MAR-21,1331.16
45976,1916,15-APR-21,1191.41
45977,1916,15-MAY-21,982.79
45978,1916,15-JUN-21,801.62
45979,1916,15-JUL-21,1186
45980,1916,15-AUG-21,859.6
45981,1916,15-SEP-21,1411.47
45982,1916,15-OCT-21,1434.81
45983,1916,15-NOV-21,980.26
45984,1916,15-DEC-21,1333.27
45985,1917,15-JAN-20,1319.66
45986,1917,15-FEB-20,1202.32
45987,1917,15-MAR-20,1383.97
45988,1917,15-APR-20,1335.31
45989,1917,15-MAY-20,1496.82
45990,1917,15-JUN-20,1473.65
45991,1917,15-JUL-20,948.52
45992,1917,15-AUG-20,1455.36
45993,1917,15-SEP-20,1163.64
45994,1917,15-OCT-20,904.16
45995,1917,15-NOV-20,1354.72
45996,1917,15-DEC-20,1455.12
45997,1917,15-JAN-21,1448.31
45998,1917,15-FEB-21,807.33
45999,1917,15-MAR-21,1262.41
46000,1917,15-APR-21,1218.09
46001,1917,15-MAY-21,736.48
46002,1917,15-JUN-21,939.74
46003,1917,15-JUL-21,1250.93
46004,1917,15-AUG-21,1364.12
46005,1917,15-SEP-21,1354.82
46006,1917,15-OCT-21,1020.54
46007,1917,15-NOV-21,832.75
46008,1917,15-DEC-21,1371.81
46009,1918,15-JAN-20,1160.79
46010,1918,15-FEB-20,1223.84
46011,1918,15-MAR-20,1064.04
46012,1918,15-APR-20,751.53
46013,1918,15-MAY-20,1278.29
46014,1918,15-JUN-20,1157.35
46015,1918,15-JUL-20,836
46016,1918,15-AUG-20,824.43
46017,1918,15-SEP-20,1224.77
46018,1918,15-OCT-20,1499.02
46019,1918,15-NOV-20,1289.05
46020,1918,15-DEC-20,852.98
46021,1918,15-JAN-21,1176.78
46022,1918,15-FEB-21,770.87
46023,1918,15-MAR-21,1314.92
46024,1918,15-APR-21,714.12
46025,1918,15-MAY-21,912.87
46026,1918,15-JUN-21,1244.81
46027,1918,15-JUL-21,1016.3
46028,1918,15-AUG-21,753.48
46029,1918,15-SEP-21,1369.19
46030,1918,15-OCT-21,1093.57
46031,1918,15-NOV-21,909.5
46032,1918,15-DEC-21,1019.27
46033,1919,15-JAN-20,1041.36
46034,1919,15-FEB-20,936.93
46035,1919,15-MAR-20,723.72
46036,1919,15-APR-20,1266.29
46037,1919,15-MAY-20,955.35
46038,1919,15-JUN-20,1113.01
46039,1919,15-JUL-20,1205.08
46040,1919,15-AUG-20,980.45
46041,1919,15-SEP-20,926.17
46042,1919,15-OCT-20,948.01
46043,1919,15-NOV-20,1386.84
46044,1919,15-DEC-20,1275.1
46045,1919,15-JAN-21,1131
46046,1919,15-FEB-21,1084.52
46047,1919,15-MAR-21,779.78
46048,1919,15-APR-21,888.41
46049,1919,15-MAY-21,903.18
46050,1919,15-JUN-21,1143.77
46051,1919,15-JUL-21,808.09
46052,1919,15-AUG-21,1125.09
46053,1919,15-SEP-21,878.2
46054,1919,15-OCT-21,1077.32
46055,1919,15-NOV-21,1232.21
46056,1919,15-DEC-21,949.35
46057,1920,15-JAN-20,1484.55
46058,1920,15-FEB-20,767.23
46059,1920,15-MAR-20,1417.6
46060,1920,15-APR-20,1224.01
46061,1920,15-MAY-20,1414.11
46062,1920,15-JUN-20,1042.25
46063,1920,15-JUL-20,891.08
46064,1920,15-AUG-20,702.15
46065,1920,15-SEP-20,1460.77
46066,1920,15-OCT-20,1087.76
46067,1920,15-NOV-20,1317.83
46068,1920,15-DEC-20,733.64
46069,1920,15-JAN-21,770.36
46070,1920,15-FEB-21,1341.08
46071,1920,15-MAR-21,1104.88
46072,1920,15-APR-21,1450.94
46073,1920,15-MAY-21,947.03
46074,1920,15-JUN-21,1175.89
46075,1920,15-JUL-21,1428.08
46076,1920,15-AUG-21,807.78
46077,1920,15-SEP-21,1155.39
46078,1920,15-OCT-21,1394.7
46079,1920,15-NOV-21,902.53
46080,1920,15-DEC-21,1116.05
46081,1921,15-JAN-20,888.58
46082,1921,15-FEB-20,1124.39
46083,1921,15-MAR-20,1178.57
46084,1921,15-APR-20,747.39
46085,1921,15-MAY-20,1470.89
46086,1921,15-JUN-20,1441.7
46087,1921,15-JUL-20,1268.61
46088,1921,15-AUG-20,1025.91
46089,1921,15-SEP-20,1004.17
46090,1921,15-OCT-20,1441.32
46091,1921,15-NOV-20,990.3
46092,1921,15-DEC-20,869.46
46093,1921,15-JAN-21,1455.26
46094,1921,15-FEB-21,1396.16
46095,1921,15-MAR-21,982.6
46096,1921,15-APR-21,886.94
46097,1921,15-MAY-21,1335.77
46098,1921,15-JUN-21,1204.67
46099,1921,15-JUL-21,1308.74
46100,1921,15-AUG-21,1201.37
46101,1921,15-SEP-21,925.6
46102,1921,15-OCT-21,1184.66
46103,1921,15-NOV-21,839.35
46104,1921,15-DEC-21,1150.21
46105,1922,15-JAN-20,819.66
46106,1922,15-FEB-20,736.17
46107,1922,15-MAR-20,1232.87
46108,1922,15-APR-20,1333.59
46109,1922,15-MAY-20,972.03
46110,1922,15-JUN-20,1434.74
46111,1922,15-JUL-20,1365.39
46112,1922,15-AUG-20,873.13
46113,1922,15-SEP-20,1191.62
46114,1922,15-OCT-20,1096.17
46115,1922,15-NOV-20,1271.4
46116,1922,15-DEC-20,1385.01
46117,1922,15-JAN-21,983.95
46118,1922,15-FEB-21,1459.69
46119,1922,15-MAR-21,1028.06
46120,1922,15-APR-21,964.94
46121,1922,15-MAY-21,1029.08
46122,1922,15-JUN-21,808.13
46123,1922,15-JUL-21,903.1
46124,1922,15-AUG-21,725.62
46125,1922,15-SEP-21,1237.24
46126,1922,15-OCT-21,1387.47
46127,1922,15-NOV-21,837.88
46128,1922,15-DEC-21,782.81
46129,1923,15-JAN-20,880.56
46130,1923,15-FEB-20,1236.82
46131,1923,15-MAR-20,1309.15
46132,1923,15-APR-20,1380.99
46133,1923,15-MAY-20,1079.36
46134,1923,15-JUN-20,1041.88
46135,1923,15-JUL-20,766.25
46136,1923,15-AUG-20,1008.24
46137,1923,15-SEP-20,1160.56
46138,1923,15-OCT-20,911.45
46139,1923,15-NOV-20,1380.98
46140,1923,15-DEC-20,942.92
46141,1923,15-JAN-21,1376.44
46142,1923,15-FEB-21,1134.01
46143,1923,15-MAR-21,1199.04
46144,1923,15-APR-21,1495.79
46145,1923,15-MAY-21,1037.49
46146,1923,15-JUN-21,761.7
46147,1923,15-JUL-21,754.47
46148,1923,15-AUG-21,939.22
46149,1923,15-SEP-21,1355.85
46150,1923,15-OCT-21,1310.65
46151,1923,15-NOV-21,1151.88
46152,1923,15-DEC-21,864.85
