"ID_SARZE","ID_SKLADU","ID_LIEKU","DAT_EXPIRACIE","POCET_LIEKOV"
812,82,535,13-JUN-29,39
813,82,535,20-MAR-18,69
814,82,1184,26-JAN-30,42
815,82,535,18-DEC-30,85
816,83,3347,20-OCT-29,89
817,83,3212,17-MAR-21,36
818,83,1636,06-AUG-31,74
819,83,355,17-SEP-16,6
820,83,215,07-JUN-26,3
821,83,215,15-JUL-33,57
822,83,805,09-FEB-30,66
823,83,2312,04-JUL-31,46
824,83,3475,20-DEC-22,47
825,83,19,14-SEP-29,7
826,83,356,23-MAY-30,87
827,83,1281,20-FEB-21,16
828,83,116,22-NOV-30,58
829,83,3165,20-AUG-32,86
830,83,805,22-DEC-24,68
831,83,354,17-OCT-28,58
832,83,2486,20-OCT-25,98
833,83,2312,17-MAY-20,54
834,83,355,27-OCT-27,16
835,83,19,22-MAR-29,87
836,84,53,15-OCT-16,76
837,84,1102,14-JUN-18,90
838,84,2679,27-SEP-15,59
839,84,2165,01-NOV-21,14
840,84,2770,10-SEP-25,13
841,84,2686,07-AUG-16,62
842,84,1446,08-APR-15,92
843,85,2147,25-APR-23,37
844,85,315,22-AUG-27,28
845,85,378,27-MAY-20,81
846,85,614,13-JUL-24,84
847,85,1098,25-SEP-28,34
848,85,1102,14-SEP-26,73
849,85,2844,07-SEP-17,83
850,85,2503,27-MAR-24,44
851,86,51,10-JUN-30,53
852,86,1949,07-MAY-24,84
853,86,882,16-NOV-24,87
854,86,1406,24-DEC-28,15
855,86,2631,23-MAY-29,7
856,86,881,01-FEB-21,60
857,86,1434,21-JUL-20,86
858,86,1941,15-DEC-29,46
859,86,1948,26-MAR-23,83
860,86,77,06-JUL-21,87
861,86,2600,21-MAY-28,92
862,86,1426,19-DEC-18,76
863,86,1129,10-AUG-28,14
864,86,2664,12-JUN-23,89
865,86,56,16-NOV-20,72
866,87,2693,03-DEC-32,64
867,87,2688,15-JUN-22,89
868,87,901,06-JAN-18,54
869,87,2348,02-DEC-30,90
870,87,1096,24-APR-24,67
871,87,3199,06-MAR-21,22
872,87,1553,19-FEB-32,97
873,87,3199,13-DEC-25,56
874,87,2614,27-NOV-20,60
875,87,1488,08-FEB-16,6
876,87,1574,14-AUG-15,96
877,87,3070,06-AUG-27,14
878,87,3108,25-NOV-16,97
879,87,259,11-JUL-24,16
880,87,2860,16-SEP-32,86
881,87,2686,28-JUL-18,17
882,87,2678,23-MAR-31,51
883,87,2408,01-AUG-15,57
884,88,2408,13-DEC-16,54
885,88,1101,12-JUL-33,6
886,88,1553,09-JAN-21,85
887,88,709,23-OCT-33,92
888,88,258,03-JUL-18,37
889,88,1554,03-OCT-33,36
890,88,1313,22-MAY-18,3
891,88,1912,23-JUN-23,83
892,88,1895,05-MAR-27,48
893,89,1312,08-MAR-29,30
894,89,3201,01-APR-20,33
895,89,1553,11-FEB-24,53
896,89,313,09-DEC-22,51
897,89,2114,21-JAN-27,18
898,89,2720,01-JUL-32,93
899,89,53,07-NOV-18,94
900,89,1429,20-AUG-29,100
901,89,53,02-JAN-22,73
902,89,300,01-SEP-29,84
903,89,516,09-OCT-31,45
904,89,511,15-APR-33,49
905,89,314,26-NOV-15,9
906,89,804,02-FEB-23,72
907,89,3372,24-DEC-29,38
908,89,1279,20-JUL-23,78
909,89,2278,06-OCT-26,80
910,90,1836,15-JUN-15,58
911,90,1802,21-MAY-19,66
912,90,2409,07-AUG-31,7
913,90,2263,18-MAY-29,87
914,90,1196,16-APR-33,62
915,90,2832,12-MAR-24,90
916,90,2862,28-MAY-27,89
917,91,215,24-MAR-24,9
918,91,2413,05-JUN-31,59
919,91,759,27-AUG-17,48
920,91,1108,13-FEB-22,20
921,91,2413,10-OCT-29,87
922,91,3420,25-OCT-17,55
923,91,2197,02-JAN-15,24
924,91,1110,21-AUG-25,38
925,91,1033,18-FEB-18,21
926,91,607,21-OCT-21,74
927,91,3001,23-MAR-31,67
928,91,998,07-APR-19,69
929,91,1648,14-JUN-33,100
930,91,986,11-FEB-17,35
931,91,2648,03-OCT-19,60
932,91,1436,13-FEB-33,94
933,91,2082,12-JUN-24,72
934,91,3371,27-OCT-30,87
935,92,1750,06-NOV-33,59
936,92,2385,20-DEC-18,74
937,92,2025,14-SEP-28,10
938,92,2385,05-MAY-33,41
939,93,2509,07-SEP-19,43
940,93,2124,05-DEC-17,76
941,93,3375,28-JAN-15,84
942,93,2024,06-FEB-20,20
943,93,2024,21-SEP-26,46
944,93,2027,15-JUL-16,80
945,93,2584,26-MAR-26,30
946,93,210,26-AUG-17,64
947,93,2509,17-JUN-21,53
948,93,145,23-DEC-27,2
949,93,1750,21-NOV-18,64
950,93,2124,09-OCT-24,26
951,93,2024,21-AUG-23,1
952,93,1752,13-DEC-20,6
953,93,1752,26-JUN-29,52
954,93,2024,12-SEP-22,46
955,93,2385,21-DEC-22,53
956,93,2027,17-MAY-23,10
957,93,2124,07-JAN-23,89
958,94,2027,13-APR-17,77
959,95,2024,13-JUN-22,30
960,95,210,15-AUG-32,96
961,95,1751,11-OCT-27,72
962,95,2024,25-DEC-31,21
963,95,2509,25-FEB-27,56
964,95,2385,04-JAN-25,30
965,95,2385,14-MAR-25,97
966,95,1750,25-FEB-26,58
967,95,1753,22-AUG-23,37
968,95,2509,08-SEP-17,33
969,95,210,08-SEP-28,80
970,95,2584,22-JAN-18,21
971,95,642,09-APR-28,32
972,95,1751,24-FEB-16,45
973,95,2385,18-OCT-21,86
974,95,3374,15-OCT-16,72
975,96,738,11-APR-33,57
976,96,951,13-JAN-24,59
977,96,2488,06-JUL-32,94
978,96,2488,02-DEC-31,80
979,96,1538,19-DEC-23,47
980,96,906,18-OCT-31,10
981,96,587,12-JUN-32,48
982,96,3299,15-APR-27,19
983,96,738,26-NOV-19,92
984,97,862,24-FEB-25,18
985,97,2417,03-JUL-19,37
986,97,976,07-MAY-16,54
987,97,2413,07-JUN-20,83
988,97,3299,13-NOV-31,80
989,97,3251,21-MAY-15,95
990,97,2124,22-JUL-33,3
991,97,1544,02-FEB-33,66
992,97,3244,26-JUL-28,17
993,97,3084,03-MAR-31,81
994,97,2124,12-MAY-17,69
995,97,1075,19-JUN-28,69
996,97,3443,02-OCT-30,23
997,97,3423,15-JUL-30,33
998,97,1619,02-JAN-23,50
999,97,2488,07-FEB-20,34
1000,97,738,05-JAN-24,36
1001,97,2124,15-JUN-31,48
1002,98,1842,06-DEC-26,94
1003,98,1412,23-AUG-22,28
1004,98,2414,13-APR-19,45
1005,98,3341,11-DEC-21,17
1006,98,2124,08-FEB-27,39
1007,98,968,01-FEB-32,16
1008,98,3341,03-AUG-16,51
1009,98,3244,21-AUG-27,19
1010,98,1539,20-JUL-16,32
1011,98,1107,26-FEB-27,95
1012,98,1539,23-SEP-19,55
1013,98,1751,08-NOV-16,3
1014,98,383,28-AUG-18,89
1015,98,950,22-JAN-32,70
1016,98,3188,23-MAY-25,18
1017,98,1750,14-MAY-28,72
1018,98,738,26-DEC-22,50
1019,98,1412,03-JUL-32,93
1020,98,1657,02-SEP-21,2
1021,98,2480,25-JUL-16,65
1022,99,3076,24-DEC-27,27
1023,99,2854,27-JAN-18,92
1024,99,1762,07-JUN-29,88
1025,99,1100,02-JUN-19,28
1026,99,2123,03-SEP-21,95
1027,99,1645,20-DEC-33,49
1028,100,3443,09-FEB-24,64
1029,100,2259,28-AUG-32,6
1030,100,3475,16-FEB-21,46
