"ID_MIESTNOSTI","ID_ODDELENIA","ID_TYPU_MIESTNOSTI","NAZOV_MIESTNOSTI"
928,205,1,"37_L_02"
929,205,1,"37_L_03"
930,205,2,"37_OP_01"
931,205,2,"37_OP_02"
932,206,1,"38_L_01"
933,206,1,"38_L_02"
934,206,1,"38_L_03"
935,206,2,"38_OP_01"
936,206,2,"38_OP_02"
937,207,1,"39_L_01"
938,207,1,"39_L_02"
939,207,1,"39_L_03"
940,207,1,"39_L_04"
941,207,2,"39_OP_01"
942,207,2,"39_OP_02"
943,208,1,"40_L_01"
944,208,1,"40_L_02"
945,208,1,"40_L_03"
946,208,1,"40_L_04"
947,208,2,"40_OP_01"
948,209,1,"41_L_01"
949,209,1,"41_L_02"
950,209,2,"41_OP_01"
951,209,2,"41_OP_02"
952,210,1,"0_L_01"
953,210,1,"0_L_02"
954,210,1,"0_L_03"
955,210,1,"0_L_04"
956,210,2,"0_OP_01"
957,210,2,"0_OP_02"
958,211,1,"1_L_01"
959,211,1,"1_L_02"
960,211,1,"1_L_03"
961,211,1,"1_L_04"
962,211,2,"1_OP_01"
963,212,1,"2_L_01"
964,212,1,"2_L_02"
965,212,1,"2_L_03"
966,212,1,"2_L_04"
967,212,2,"2_OP_01"
968,212,2,"2_OP_02"
969,213,1,"3_L_01"
970,213,1,"3_L_02"
971,213,1,"3_L_03"
972,213,2,"3_OP_01"
973,213,2,"3_OP_02"
974,214,1,"4_L_01"
975,214,1,"4_L_02"
976,214,1,"4_L_03"
977,214,2,"4_OP_01"
978,214,2,"4_OP_02"
979,215,1,"5_L_01"
980,215,1,"5_L_02"
981,215,2,"5_OP_01"
982,215,2,"5_OP_02"
983,216,1,"6_L_01"
984,216,1,"6_L_02"
985,216,1,"6_L_03"
986,216,2,"6_OP_01"
987,216,2,"6_OP_02"
988,217,1,"7_L_01"
989,217,1,"7_L_02"
990,217,1,"7_L_03"
991,217,1,"7_L_04"
992,217,2,"7_OP_01"
993,218,1,"8_L_01"
994,218,1,"8_L_02"
995,218,1,"8_L_03"
996,218,1,"8_L_04"
997,218,2,"8_OP_01"
998,219,1,"9_L_01"
999,219,1,"9_L_02"
1000,219,1,"9_L_03"
1001,219,1,"9_L_04"
1002,219,2,"9_OP_01"
1003,220,1,"10_L_01"
1004,220,1,"10_L_02"
1005,220,1,"10_L_03"
1006,220,1,"10_L_04"
1007,220,2,"10_OP_01"
1008,220,2,"10_OP_02"
1009,221,1,"11_L_01"
1010,221,1,"11_L_02"
1011,221,1,"11_L_03"
1012,221,1,"11_L_04"
1013,221,2,"11_OP_01"
1014,222,1,"12_L_01"
1015,222,1,"12_L_02"
1016,222,1,"12_L_03"
1017,222,1,"12_L_04"
1018,222,2,"12_OP_01"
1019,223,1,"13_L_01"
1020,223,1,"13_L_02"
1021,223,1,"13_L_03"
1022,223,1,"13_L_04"
1023,223,2,"13_OP_01"
1024,223,2,"13_OP_02"
1025,224,1,"14_L_01"
1026,224,1,"14_L_02"
1027,224,2,"14_OP_01"
1028,224,2,"14_OP_02"
1029,225,1,"15_L_01"
1030,225,1,"15_L_02"
1031,225,2,"15_OP_01"
1032,225,2,"15_OP_02"
1033,226,1,"16_L_01"
1034,226,1,"16_L_02"
